Count,Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
1,182,Joe Medwick,1968,17,1932,1948,10,54.5,1984,8143,7635,1198,2471,540,113,205,1383,42,37,437,551,101,203,,44,0.324,0.362,0.505,0.867
1,183,Jos Mendz,2006,7,1920,1926,0,2.2,233,757,620,86,144,31,5,3,62,33,,85,,,,,47,0.232,0.33,0.313,0.642
1,184,Minnie Minoso,2022,20,1946,1980,13,53.8,1948,8233,7059,1227,2113,365,95,195,1089,216,130,848,584,43,185,57,69,0.299,0.387,0.461,0.848
1,185,Johnny Mize,1981,15,1936,1953,10,70.7,1884,7372,6443,1118,2011,367,83,359,1337,28,12,856,524,150,99,,20,0.312,0.397,0.562,0.959
1,186,Paul Molitor,2004,21,1978,1998,7,75.6,2683,12167,10835,1782,3319,605,114,234,1307,504,131,1094,1244,100,209,109,75,0.306,0.369,0.448,0.817
1,187,Joe Morgan,1990,22,1963,1984,10,100.4,2649,11329,9277,1650,2517,449,96,268,1133,689,162,1865,1015,76,105,96,51,0.271,0.392,0.427,0.819
1,188,Jack Morris,2018,18,1977,1994,5,-0.1,23,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,189,Eddie Murray,2003,21,1977,1997,8,68.7,3026,12817,11336,1627,3255,560,35,504,1917,110,43,1333,1516,222,315,128,2,0.287,0.359,0.476,0.836
1,190,Stan Musial,1969,22,1941,1963,24,128.6,3026,12721,10972,1949,3630,725,177,475,1951,78,71,1599,696,298,243,53,35,0.331,0.417,0.559,0.976
1,191,Mike Mussina,2019,18,1991,2008,5,0,22,54,52,3,9,1,0,0,5,0,0,1,9,0,0,0,1,0.173,0.189,0.192,0.381
1,192,Hal Newhouser,1992,17,1939,1955,7,2.7,492,1160,999,70,201,22,2,2,81,3,3,89,150,0,24,0,72,0.201,0.267,0.233,0.5
1,193,Kid Nichols,1949,15,1890,1906,0,-0.4,650,2264,2090,273,472,58,24,16,278,19,,137,343,,,,25,0.226,0.277,0.3,0.577
1,194,Phil Niekro,1997,24,1964,1987,5,-1.1,742,1707,1537,80,260,42,1,7,109,0,1,17,314,0,35,12,129,0.169,0.183,0.211,0.395
1,195,Hank O'Day,2013,7,1884,1890,0,-2.6,232,858,817,76,155,19,3,1,46,7,,39,109,,,,,0.19,0.228,0.224,0.452
1,196,Buck O'Neil,2022,10,1937,1948,3,1.9,364,1446,1314,211,342,56,23,12,189,49,,114,,,,0,15,0.26,0.321,0.365,0.686
1,197,Jim O'Rourke,1945,23,1872,1904,0,52.1,1999,9052,8503,1729,2639,468,149,62,1208,229,12,513,362,,6,,0,0.31,0.352,0.422,0.775
1,198,Tony Oliva,2022,15,1962,1976,8,43,1676,6880,6301,870,1917,329,48,220,947,86,55,448,645,131,139,57,14,0.304,0.353,0.476,0.83
1,199,David Ortiz,2022,20,1997,2016,10,55.3,2408,10091,8640,1419,2472,632,19,541,1768,17,9,1319,1750,209,236,92,2,0.286,0.38,0.552,0.931
1,200,Mel Ott,1951,22,1926,1947,12,110.8,2730,11347,9456,1859,2876,488,72,511,1860,89,90,1708,896,128,82,,109,0.304,0.414,0.533,0.947
1,201,Satchel Paige,1971,21,1927,1965,8,-0.1,417,703,660,50,131,5,8,1,44,7,0,14,32,0,5,0,29,0.198,0.215,0.235,0.45
1,202,Jim Palmer,1990,19,1965,1984,6,0.9,222,537,489,52,85,9,1,3,41,1,0,16,207,0,1,1,31,0.174,0.2,0.215,0.414
1,203,Herb Pennock,1948,22,1912,1934,0,0.8,620,1427,1214,108,232,33,4,4,103,1,0,94,178,0,,,111,0.191,0.253,0.235,0.488
1,204,Tony Perez,2000,23,1964,1986,7,54,2777,10861,9778,1272,2732,505,79,379,1652,49,33,925,1867,150,268,106,9,0.279,0.341,0.463,0.804
1,205,Gaylord Perry,1991,22,1962,1983,5,-3,512,1220,1076,48,141,17,0,6,47,0,0,22,369,0,20,3,113,0.131,0.153,0.164,0.316
1,206,Mike Piazza,2016,16,1992,2007,12,59.5,1912,7745,6911,1048,2127,344,8,427,1335,17,20,759,1113,146,229,45,0,0.308,0.377,0.545,0.922
1,207,Eddie Plank,1946,17,1901,1917,0,3.3,630,1783,1607,130,331,39,7,3,122,13,3,71,265,,,,76,0.206,0.25,0.245,0.495
1,208,Kirby Puckett,2001,12,1984,1995,10,51.2,1783,7831,7244,1071,2304,414,57,207,1085,134,76,450,965,85,188,58,23,0.318,0.36,0.477,0.837
1,209,Old Hoss Radbourn,1939,12,1880,1891,0,2.2,653,2654,2487,308,585,64,11,9,259,26,,158,244,,,,,0.235,0.283,0.281,0.564
1,210,Tim Raines,2017,23,1979,2002,7,69.4,2502,10359,8872,1571,2605,430,113,170,980,808,146,1330,966,148,142,76,39,0.294,0.385,0.425,0.81
1,211,Pee Wee Reese,1984,16,1940,1958,10,68.4,2166,9472,8058,1338,2170,330,80,126,885,232,99,1210,890,69,176,19,157,0.269,0.366,0.377,0.743
1,212,Jim Rice,2009,16,1974,1989,8,47.7,2089,9058,8225,1249,2452,373,79,382,1451,58,34,670,1423,77,315,94,5,0.298,0.352,0.502,0.854
1,213,Sam Rice,1963,20,1915,1934,0,54.4,2404,10260,9269,1514,2987,498,184,34,1077,351,143,708,275,6,,,213,0.322,0.374,0.427,0.801
1,214,Branch Rickey,1967,4,1905,1914,0,0.6,120,381,343,38,82,8,6,3,39,8,0,27,54,,,,5,0.239,0.304,0.324,0.628
1,215,Cal Ripken Jr.,2007,21,1981,2001,19,95.9,3001,12883,11551,1647,3184,603,44,431,1695,36,39,1129,1305,107,350,127,10,0.276,0.34,0.447,0.788
1,216,Mariano Rivera,2019,19,1995,2013,13,0,73,4,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.25,0,0.25
1,217,Eppa Rixey,1963,21,1912,1933,0,-1.5,694,1667,1522,95,291,33,4,3,111,2,2,49,220,0,2,,87,0.191,0.221,0.224,0.445
1,218,Phil Rizzuto,1994,13,1941,1956,5,42.2,1661,6719,5816,877,1588,239,62,38,563,149,58,651,398,35,107,2,193,0.273,0.351,0.355,0.706
