Count,Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
1,1,Henry Aaron,1982,23,1954,1976,25,143,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,328,121,21,0.305,0.374,0.555,0.928
1,2,Pete Alexander,1938,20,1911,1930,0,3.1,703,1981,1810,154,378,60,13,11,163,3,6,77,276,0,,,88,0.209,0.242,0.275,0.517
1,3,Roberto Alomar,2011,17,1988,2004,12,67,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,206,97,148,0.3,0.371,0.443,0.814
1,4,Walter Alston,1983,1,1936,1936,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
1,5,Sparky Anderson,2000,1,1959,1959,0,-1.2,152,527,477,42,104,9,3,0,34,6,9,42,53,1,15,2,5,0.218,0.282,0.249,0.531
1,6,Cap Anson,1939,27,1871,1897,0,94.4,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,,6,,34,0.334,0.394,0.447,0.841
1,7,Luis Aparicio,1984,18,1956,1973,13,55.9,2599,11231,10230,1335,2677,394,92,83,791,506,136,736,742,22,184,76,161,0.262,0.311,0.343,0.653
1,8,Luke Appling,1964,20,1930,1950,7,77.6,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,68,129,,74,0.31,0.399,0.398,0.798
1,9,Richie Ashburn,1995,15,1948,1962,6,64.2,2189,9737,8365,1322,2574,317,109,29,586,234,117,1198,571,40,83,18,112,0.308,0.396,0.382,0.778
1,10,Earl Averill,1975,13,1929,1941,6,51.5,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,36,7,,55,0.318,0.395,0.534,0.928
1,11,Jeff Bagwell,2017,15,1991,2005,4,79.9,2150,9431,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,221,102,3,0.297,0.408,0.54,0.948
1,12,Harold Baines,2019,22,1980,2001,6,38.8,2830,11092,9908,1299,2866,488,49,384,1628,34,34,1062,1441,187,298,99,9,0.289,0.356,0.465,0.82
1,13,Home Run Baker,1955,13,1908,1922,0,62.8,1575,6677,5984,887,1838,315,103,96,991,235,54,473,344,,,,153,0.307,0.363,0.442,0.805
1,14,Dave Bancroft,1971,16,1915,1930,0,49.7,1913,8250,7182,1048,2004,320,77,32,591,145,85,827,487,1,,,212,0.279,0.355,0.358,0.714
1,15,Ernie Banks,1977,19,1953,1971,14,67.7,2528,10396,9421,1305,2583,407,90,512,1636,50,53,763,1236,202,229,96,45,0.274,0.33,0.5,0.83
1,16,Jake Beckley,1971,20,1888,1907,0,61.5,2392,10518,9551,1603,2938,473,244,87,1581,315,,616,526,,,,167,0.308,0.361,0.436,0.797
1,17,Cool Papa Bell,1974,21,1922,1946,8,31.5,1199,5405,4756,1149,1546,262,72,57,595,285,,527,,1,0,0,108,0.325,0.394,0.446,0.84
1,18,Johnny Bench,1989,17,1967,1983,14,75.1,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,201,90,11,0.267,0.342,0.476,0.817
1,19,Charles Bender,1953,16,1903,1925,0,5.2,507,1287,1147,102,243,40,10,6,116,20,2,75,160,,,,42,0.212,0.266,0.28,0.546
1,20,Yogi Berra,1972,19,1946,1965,18,59.4,2120,8364,7555,1175,2150,321,49,358,1430,30,26,704,414,91,146,44,9,0.285,0.348,0.482,0.83
1,21,Craig Biggio,2015,20,1988,2007,7,65.5,2850,12504,10876,1844,3060,668,55,291,1175,414,124,1160,1753,68,150,81,101,0.281,0.363,0.433,0.796
1,22,Bert Blyleven,2011,22,1970,1992,2,-1.6,218,514,451,19,59,7,0,0,25,0,0,5,193,0,4,0,56,0.131,0.144,0.146,0.29
1,23,Wade Boggs,2005,18,1982,1999,12,91.4,2439,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,236,96,29,0.328,0.415,0.443,0.858
1,24,Jim Bottomley,1974,16,1922,1937,0,35.8,1991,8358,7471,1177,2313,465,151,219,1422,58,40,664,591,22,33,,177,0.31,0.369,0.5,0.869
1,25,Lou Boudreau,1970,15,1938,1952,8,63.3,1646,7025,6029,861,1779,385,66,68,789,51,50,796,309,40,155,,164,0.295,0.38,0.415,0.795
1,26,Roger Bresnahan,1945,17,1897,1915,0,42,1446,5389,4481,682,1252,218,71,26,530,212,4,714,403,,,,112,0.279,0.386,0.377,0.764
1,27,George Brett,1999,21,1973,1993,13,88.6,2707,11625,10349,1583,3154,665,137,317,1596,201,97,1096,908,229,235,120,26,0.305,0.369,0.487,0.857
1,28,Lou Brock,1985,19,1961,1979,6,45.3,2616,11240,10332,1610,3023,486,141,149,900,938,307,761,1730,124,114,46,47,0.293,0.343,0.41,0.753
1,29,Dan Brouthers,1945,19,1879,1904,0,79.8,1676,7691,6726,1529,2303,462,206,107,1301,257,,840,238,,,,20,0.342,0.423,0.52,0.943
1,30,Mordecai Brown,1949,14,1903,1916,0,1.1,493,1244,1143,93,235,20,11,2,73,8,0,44,199,,,,49,0.206,0.236,0.248,0.483
1,31,Ray Brown,2006,14,1931,1945,2,6.7,424,1391,1248,194,336,74,21,25,202,10,,119,,1,0,0,23,0.269,0.333,0.422,0.756
1,32,Willard Brown,2006,11,1937,1948,7,18.1,426,1765,1636,329,573,126,44,53,388,79,2,122,7,0,2,0,4,0.35,0.396,0.578,0.975
